FA7E	CJK COMPATIBILITY IDEOGRAPH-FA7E
	: 5944
FA7F	CJK COMPATIBILITY IDEOGRAPH-FA7F
	: 5954
FA80	CJK COMPATIBILITY IDEOGRAPH-FA80
	: 5A62
FA81	CJK COMPATIBILITY IDEOGRAPH-FA81
	: 5B28
FA82	CJK COMPATIBILITY IDEOGRAPH-FA82
	: 5ED2
FA83	CJK COMPATIBILITY IDEOGRAPH-FA83
	: 5ED9
FA84	CJK COMPATIBILITY IDEOGRAPH-FA84
	: 5F69
FA85	CJK COMPATIBILITY IDEOGRAPH-FA85
	: 5FAD
FA86	CJK COMPATIBILITY IDEOGRAPH-FA86
	: 60D8
FA87	CJK COMPATIBILITY IDEOGRAPH-FA87
	: 614E
